"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","11","30","StdCyclomaticComplexity","The class 'TMPartnerMixedOptyShareUtil' has a Standard Cyclomatic Complexity of 4 (Highest = 12).","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"2","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","32","19","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"3","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","54","31","ApexSOQLInjection","Avoid untrusted/unescaped variables in DML query","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsoqlinjection","Security","pmd"
"4","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","66","49","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"5","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","69","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"6","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","101","29","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"7","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","105","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"8","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","117","17","StdCyclomaticComplexity","The method 'processOptyShareHourly' has a Standard Cyclomatic Complexity of 12.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"9","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","117","17","NcssMethodCount","The method 'processOptyShareHourly()' has an NCSS line count of 40","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"10","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","117","17","CognitiveComplexity","The method 'processOptyShareHourly(List<Channel_Partner__c>, Map<String,List<Territory_Utility__c>>, Map<String,List<String>>)' has a cognitive complexity of 25, current threshold is 15","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"11","3","/Users/amitsingh/Desktop/MyProjects/sfdx/lwc-enhancement/force-app/main/default/classes/TMPartnerMixedOptyShareUtil.cls","117","17","CyclomaticComplexity","The method 'processOptyShareHourly(List<Channel_Partner__c>, Map<String,List<Territory_Utility__c>>, Map<String,List<String>>)' has a cyclomatic complexity of 14.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
